1620386220	_	_	1917.63354029615	70.4796453152193
1620388277.0	2730.6648648653063	2720.83313092675	_	_
1620409908.0	2747.1414689659096	2752.875961612186	_	_
1620431528.0	2787.7069398707354	2780.3850659497857	_	_
1620453143.0	2905.7544310728204	2803.365961841771	_	_
1620475374.0	2949.6886467675026	2844.9639532964525	_	_
1620496290.0	3024.682019790328	2888.673552667249	_	_
1620518585.0	3140.890806384099	2934.4461019515306	_	_
1620539490.0	3209.1647108092675	2983.6037035063914	_	_
1620561133.0	3219.636031365734	3037.143496518741	_	_
1620582776.0	3001.008047785126	3096.834023672803	_	_
1620625874.0	2774.5583301172155	3161.2219156850997	_	_
1620647503.0	2709.446780771417	3227.6952587348483	_	_
1620669118.0	2749.231472321997	3297.5153495986933	_	_
1620693921.0	3188.5170440520565	3362.9123395369334	_	_
1620712261.0	3279.4702347112234	3433.2891738625162	_	_
1620733882.0	3403.152037945572	3503.2813878533398	_	_
1620755529.0	3511.357792045685	3577.2339197447122	_	_
